ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;IDADE;TOTAL
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;34;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;36;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;40;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;46;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;48;2
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;50;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;62;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;M;67;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;50;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;59;1
2013;01;AL;Macei�                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;45;1
2013;01;AL;Macei�                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;M;40;1
2013;01;AL;Macei�                                            ;Vencido     ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;16                                                ;M;54;1
2013;01;AL;Macei�                                            ;Vencido     ;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;38;1
2013;01;AL;Macei�                                            ;Vencido     ;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;40;1
2013;01;AL;Macei�                                            ;Vencido     ;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;51;1
2013;01;AL;Macei�                                            ;Vencido     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;48;1
2013;01;AL;Macei�                                            ;Vencido     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;51;1
2013;01;AL;Macei�                                            ;Vencido     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;55;1
2013;01;AL;Macei�                                            ;Vencido     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;58;1
2013;01;AL;Macei�                                            ;Vencido     ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;M;59;1
2013;01;AL;Macei�                                            ;Vencido     ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;50;1
2013;01;AL;Macei�                                            ;Vencido     ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;53;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;43;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;M;47;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;32;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;38;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;44;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;54;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;56;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;20                                                ;F;51;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;M;51;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;M;57;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;16                                                ;M;36;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;20                                                ;M;46;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;M;57;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;CZ CESKOSLOVENSKA ZBROJOVKA                                           ;.380                                              ;M;62;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;45;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;61;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;64;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;66;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;IMBEL                                                                 ;.380                                              ;M;39;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;IMBEL                                                                 ;.380                                              ;M;55;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;33;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;35;2
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;38;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;39;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;42;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;47;2
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;49;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;61;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;63;2
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;74;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;M;46;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;M;65;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;M;60;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;F;42;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;48;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;33;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;34;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;36;2
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;37;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;41;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;44;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;45;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;46;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;48;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;49;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;53;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;54;1
2013;01;AM;Manaus                                            ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;60;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;.32                                               ;F;80;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;.32                                               ;M;71;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;M;36;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;M;38;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;M;43;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;M;56;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;16                                                ;F;54;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;F;50;1
2013;01;AM;Manaus                                            ;Vencido     ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;F;52;1
